input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
5P,26,All,6,5,9,-2,+1,1000,1500,1,Small,none,80%
5K,30,All,8,5,9,-2,+1,1000,1000,1,Small,none,90%
c.S,42,All,7,7,11,+1,+4,2500,1000,4,Mid,none,100%
f.S,33,All,11,2,21,-9,-6,1500,1000,2,Mid,none,90%
5H,44,All,15,4,23,-8,-5,2500,1000,4,Large,none,100%
2P,22,All,5,2,10,-2,+1,500,1500,0,Small,none,80%
2K,25,Low,7,3,11,-2,+1,750,1000,1,Small,none,70%
2S,31,Low,10,4,16,-6,-3,1125,1000,2,Mid,none,90%
2H,44,All,22,4,19,-4,u,2500,1000,4,Large,none,100%
j.P,23,High,9,2,5,u,u,375,1000,0,Small,none,80%
j.K,26,High,6,4,15,u,u,750,1000,1,Small,none,80%
j.S,31,High,7,5,20,u,u,1125,1000,2,Mid,none,80%
j.H,39,High,13,3,27,u,u,1125,1000,2,Mid,none,80%
j.D,42,High,8,6,18,u,u,1500,1000,3,Mid,none,80%
6P,33,All,10,6,25,-17,u,1500,1000,2,Mid,1-3 Upper Body,90%
6H,"12,12,25",All,16,3(3)3(4)4,21,-8,u,"500, 500, 600",1000,"2,2,3",Large,none,100%
2D,31,Low,10,3,22,-11,u,1125,1000,2,Large,none,90%
5D,45,High,20,3,26,-15,0,1125,3000,2,Mid,none,80%
5[D],56,High,28,3,26,-10,0,1875,1500,4,Mid,none,100%
