input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
5P,40 [52],All,7,6,19,-11,-8,1500,1500,2 [3],Small,-,80%
5K,30,All,6,3,11,-2,+1,1000,1000,1,Small,-,90%
c.S,40,All,8,6,12,-1,+2,2000,1000,3,Mid,-,100%
f.S,34,All,10,3,19,-8,-5,1500,1000,2,Mid,-,90%
5H,48,All,16,4,19,-4,-1,1500,1000,4,Large,-,100%
2P,30 [39],Low,10,4,21,-13,-10,750,1500,1,Small,-,80%
2K,26,Low,5,5,11,-4,+1,750,1000,1,Small,-,70%
2S,35 [45],All,9,10,23,-16,-13,2000,1000,3 [4],Mid,-,80%
2H,45 [58],Low,11,9,26,-18,-15,1500,1000,3 [4],Large,-,90%
j.P,32 [41],High,9,4,23,-,-,750,1000,1 [2],Small,-,80%
j.K,28,High,8,3,16,-,-,750,1000,1,Small,-,80%
j.S,32 [41],High,14,4,18,-,-,1500,1000,2 [3],Mid,-,80%
j.H,40 [52],High,12,6,25,-,-,1125,1000,2 [3],Mid,-,80%
j.D,44,High,10,3,22,-,-,1500,1000,3,Mid,-,80%
6P,30,All,12,5,18,-13,+2,1500,1000,2,Mid,1~4F Upper Body,90%
6K,40 [52],All,11,5,25,-13,-10,1500,1000,3 [4],Mid,-,90%
6H,54,High,27,9,13,-3,0,1875,1000,4,Large,-,80%
2D,34,Low,10,6,17,-9,HKD,1125,1000,2,Large,-,90%
5D,45,High,20,6,23,-15,0,1125,3000,2,Mid,-,80%
5[D],56,High,28,6,23,-10,KD,1875,1500,4,Mid,-,100%
