,input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
0,5P,20,All,3,2,10,-2,+1,500,1500,0,Small,-,80%
1,5K,24,All,6,5,8,-3,0,500,1500,0,Small,-,80%
2,c.S,38,All,7,6,10,+1,+4,2000,1000,3,Mid,-,100%
3,f.S,30,All,9,2,20,-8,-5,1500,1000,2,Mid,-,90%
4,5H,42,All,11,7,16,-4,-1,2500,1000,4,Large,-,100%
5,2P,18,All,5,2,10,-2,+1,500,1500,0,Small,-,80%
6,2K,18,Low,5,4,8,-2,+1,375,1000,0,Small,-,70%
7,2S,28,All,10,4,17,-7,-4,1500,1000,2,Mid,-,90%
8,2H,36,All,12,9,24,-14,KD,2500,1000,4,Large,-,100%
9,j.P,16,High,5,4,8,-,-,375,1000,0,Small,-,80%
10,j.K,16×2,High,6,2(3)2,8,-,-,375×2,1000,1,Small,-,80%
11,j.S,32,High,9,4,18,-,-,1125,1000,2,Mid,-,80%
12,j.H,22×2,High,9,3×4,17,-,-,525×2,1000,2,Mid,-,80%
13,j.D,44,High,8,4,22,-,-,1125,1000,2,Mid,-,80%
14,6P,26,All,9,5,25,-16,-13,1500,1000,3,Mid,1~2F Upper Body,90%
15,6K,35,High,20,5,9,-2,+1,750,1000,1,Small,-,80%
16,6H,50,All,17,6,18,-5,-2,2500,1000,4,Large,-,100%
17,j.2K,14 x n,High,16,-,-,-,-,150 x n,1000,1,Very Small,-,80%
18,2D,30,Low,10,2,19,-7,HKD,1125,1000,2,Large,-,90%
19,5D,40,High,20,5,24,-15,0,1125,3000,2,Mid,-,80%
20,5[D],50,High,28,5,24,-10,KD,1875,1500,4,Mid,-,100%
