input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
5P,25,All,5,4,8,-2,+1,500,1500,0,Small,-,80%
5K,30,All,7,8,8,-2,+1,1500,1000,2,Small,-,90%
c.S,40,All,8,6,12,-1,+3,2000,1000,3,Mid,-,100%
f.S,33,All,12,2,20,-8,-5,1500,1000,2,Mid,-,90%
5H,40,All,13,8,18,-7,-4,2500,1000,4,Large,-,100%
5HH,60,-,1,-,2,-,KD,-,2000,-,-,-,100%
2P,25,Low,7,2,11,-3,0,375,1500,0,Small,-,80%
2K,12×3,Low,5,2(1)6,12,-2,+1,300×3,1000,1,Small,-,90%
2S,32,All,11,9,26,-19,-16,1500,1000,2,Mid,-,100%
2H,40,Low,14,2,29,-12,KD,1875,1000,4,Large,-,90%
j.P,20,High,7,4,6,-,-,375,1000,0,Small,-,80%
j.K,25,High,7,5,18,-,-,750,1000,1,Small,-,80%
j.S,32,High,14,3,20,-,-,1125,1000,2,Mid,-,80%
j.H,42,High,9,5,15,-,-,1500,1000,3,Mid,-,80%
j.D,45,High,13,6,23,-,-,1125,1000,2,Mid,-,80%
6P,34,All,9,3,32,-21,KD,1500,1000,2,Mid,1-4 Upper Body,90%
6H,60,High,25,9,44,-34,-31,1875,1000,4,Large,-,80%
j.2K,39,All,10,Until L,-,-,-,1500,1000,2,Mid,-,80%
2D,35,Low,12,3,18,-4,HKD,1500,1000,3,Large,-,90%
5D,40,High,20,3,26,-15,0,1125,3000,2,Mid,-,80%
5[D],50,High,28,3,26,-10,KD,1875,1500,4,Mid,-,100%
