input,name,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
41236K,Thrust,40,All,26,12,19,-12,-9,2500,1000,4,Very Small,no data,100%
41236K 4,Pull Back,0,no data,59,no data,no data,no data,no data,no data,1000,no data,no data,no data,100%
41236K 4 H,Home Run!,80 [120],no data,9,no data,no data,no data,no data,no data,1000,no data,no data,no data,100%
236P,What Could This Be?,no data,no data,26,no data,Total 40,no data,no data,no data,no data,no data,no data,no data,no data
236S,Mix Mix Mix,13×4,All,21,no data,no data,-7,HKD,500×4,2000,3,Very Small,no data,100%
j.236S,Mix Mix Mix,13×4,All,21,no data,no data,no data,HKD,500×4,2000,3,Very Small,no data,100%
236H,Snip Snip Snip,70,Ground Throw,6,1,43,no data,no data,no data,2500,no data,no data,no data,50%
j.236P,Love,"18, 40",All,27,no data,Total 48,no data,KD,500×2,1000×2,"1, 2",Very Small,no data,80%
j.236P (With Afro),Love,"18, 60",All (Guard Crush),27,no data,Total 48,no data,KD,500×2,1000×2,"1, 2",Very Small,no data,80%
214P,Scarecrow,28×2 [28×3],All,54 [84],"11,12 [11,8,3]",10 [7],-8 [+7],HKD,700×2 [500×3],1000,"2 [2×2, 4]",Very Small,no data,100%
214K,Scarecrow,28×2 [28×3],All,54 [84],"11,12 [11,8,3]",10 [7],-8 [+7],HKD,700×2 [500×3],1000,"2 [2×2, 4]",Very Small,no data,100%
214S,Scarecrow,50 [70],High,50 [69],17,36,-32 [-27],HKD,1125 [1875],1000,2 [4],Mid,no data,80%
