,input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
0,5P,26,All,4,3,9,-2,+1,500,1500,0,Small,-,80%
1,5K,30,All,6,4,10,-2,+1,1000,1000,1,Small,-,90%
2,c.S,40,All,7,6,10,+3,+13,2500,1000,4,Mid,-,100%
3,f.S,"10, 10, 16",All,9,2(6)2(6)2,16,-4,-1,500×3,1000,2,Mid,-,90%
4,5H,45,All,10,3,19,-5,-2,2000,1000,3,Large,-,100%
5,2P,22,All,5,2,10,-2,+1,500,1500,0,Small,-,80%
6,2K,28,Low,6,3,11,-2,+1,750,1000,1,Small,-,70%
7,2S,"16, 18",Low,9,3(5)3,15,-6,-3,525×2,1000,2,Mid,-,90%
8,2H,40,All,11,6,21,-8,-5,2500,1000,4,Large,-,100%
9,j.P,20,High,6,5,9,-,-,375,1000,0,Small,-,80%
10,j.K,25,High,6,3,19,-,-,750,1000,1,Small,-,80%
11,j.S,30,High,7,3,24,-,-,1150,1000,2,Mid,-,80%
12,j.H,35,High,8,5,18,-,-,1125,1000,2,Mid,-,80%
13,j.D,"20, 20",High,7,3(7)3,18,-,-,"525, 750",1000,"2, 3",Mid,-,80%
14,6P,32,All,12,8,15,-9,KD,1500,1000,2,Mid,1~4 Upper Body,90%
15,6H,32,All,17,9,15,-10,KD,1500,1000,2,Large,-,100%
16,6HH,32,All,11,-,-,-11,KD,1500,1000,2,Large,-,100%
17,6HHH,40,All,13,-,-,-16,HKD,1500,1000,3,Large,-,100%
18,2D,40,Low,17,10,12,-8,HKD,1125,1000,2,Large,-,90%
19,5D,45,High,20,4,25,-15,-0,1125,3000,2,Mid,-,80%
20,5[D],56,High,28,4,25,-10,KD,1875,1500,4,Mid,-,100%
