input,name,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
236S,Stun Edge,30 [33],All,13,Until Hit,Total 46,-15,-12,500,1000,"<span class=""tooltip"">2<span class=""tooltiptext"" style="""">Hitstop: 13<br/>Standing Hitstun: 16<br/>Crouching Hitstun: 17<br/>Blockstun: 13</span></span>",Very Small,none,80%
DI 236S,Stun Edge,30×2,All,13,Until Hit,Total 46,-11,-8,200×2,1000,2,Very Small×2,none,80%
236H,Charged Stun Edge,20×3 [22×3],All,39,Until Hit,Total 62,+22 [+25],+25 [+28],100×3,1000,4,Very Small×3,none,80%
DI 236H,Charged Stun Edge,17×5,All,39,Until Hit,Total 62,+45,+48,100×5,1000,4,Very Small×5,none,80%
j.236S,Aerial Stun Edge,30 [33],All,21,Until Hit,Until Landing+10,u,u,500,1000,2,Very Small,none,80%
DI j.236S,Aerial Stun Edge,30×2,All,21,Until Hit,Until Landing+10,u,u,200×2,1000,2,Very Small×2,none,80%
j.236H,Aerial Stun Edge,30 [33],All,21,Until Hit,Until Landing+10,u,u,500,1000,2,Very Small,none,80%
DI j.236H,Aerial Stun Edge,30×2,All,21,Until Hit,Until Landing+10,u,u,200×2,1000,2,Very Small×2,none,80%
623S,S Vapor Thrust,48 [52],All,11,4,43,-33,KD (+22) [+34],1500 [2500],1000,2 [4],Mid,1-14f Strike,80%
DI 623S,S Vapor Thrust,30×2,All,11,4,43,-26,KD (+26),1200×2,1000,4,Mid×2,1-14f Strike,80%
623H,H Vapor Thrust,60 [66],All,13,8,44,-38,KD (+21) [+37],1500 [2500],1000,2 [4],Mid,1-16f Strike,80%
DI 623H,H Vapor Thrust,25×3,All,13,6,39,-22,KD (+37),800×3,1000,4,Large×3,1-18f Strike,80%
j.623S,Vapor Thrust,48 [52],All,11,4,Until Landing+12,u,KD,1500 [2500],1000,2 [4],Mid,1-14f Strike,80%
DI j.623S,Vapor Thrust,30×2,All,11,4,Until Landing+12,u,KD,1200×2,1000,4,Large×2,1-14f Strike,80%
j.623H,Vapor Thrust,60 [66],All,13,8,Until Landing+12,u,KD,1500 [2500],1000,2 [4],Mid,1-16f Strike,80%
DI j.623H,Vapor Thrust,25×3,All,13,6,Until Landing+12,u,KD,800×3,1000,4,Large×3,1-18f Strike,80%
236K,Stun Dipper,"20×2 [20, 22]","Low, All",5,12(7)3,26,-15 [-10],KD (+14),"525, 700 [1200]",1000,"2 [2, 4]",Very Small×2,1-4f Upper Body,90%
DI 236K,Stun Dipper,"20, 26×2","Low, All",5,12(7)3,26,-10,HKD (+41),"375, 800×2",1000,"2, 4, 4",Very Small×3,1-4f Upper Body,90%
214K,Foudre Arc,40 [44],All,24,11,6,-2~+6 [+4~+12],+2~+9 [+9~+14],1000 [2500],2800,"2,1 [4]",Mid,10-11f Foot,90%
DI 214K,Foudre Arc,"16, 24×2",All,24,"3,2,6",6,+7~+12,+11~+16,800×3,2000,4,Large×3,10-11f Foot,100%
214S,Dire Eclat,40 [44],All,14,3,25,-8 [-6],HKD (+51),2000 [2500],1000,3 [4],Mid,none,100%
DI 214S,Dire Eclat,20×3,All,14,3,25,-6,HKD (+51),800×3,1000,4,Large,none,100%
