input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
5P,26,All,5,5,6,-1,+2,200,1500,0,Small,no data,75%
5K,32,All,9,4,13,-3,0,1500,1000,2,Small,no data,85%
c.S,40,All,7,6,10,+1,+4,2000,1000,3,Mid,no data,100%
f.S,34,All,12,6,21,-13,-10,1500,1000,2,Mid,no data,90%
5H,42,All,15,5,22,-10,-7,2000,1000,3,Large,no data,100%
2P,22,All,6,4,8,-2,+1,500,1500,0,Small,no data,75%
2K,26,Low,7,6,11,-5,-2,750,1000,1,Small,no data,70%
2S,26,Low,10,3,13,-2,+1,1125,1000,2,Mid,no data,90%
2H,44,All,12,8,30,-20,KD,2000,1000,3,Large,no data,100%
j.P,24,High,5,3,9,no data,no data,375,1000,0,Small,no data,80%
j.K,30,High,10,7,25,no data,no data,750,1000,1,Small,no data,80%
j.S,24×2,High,7,3(3)3,17,no data,no data,525×2,1000,2,Mid,no data,"80%, 100%"
j.H,42,High,11,3,19,no data,no data,1125,1000,2,Mid,no data,80%
j.D,44,High,22,Until L,15,no data,no data,1125,1000,2,Mid,no data,100%
6P,38,All,10,5,18,-5,no data,2000,1000,3,Mid,1-2 Upper Body,90%
6K,30,All,14,3,18,-4,-1,2000,1000,3,Mid,no data,100%
6H,50,All,28,2,30,-15,-12,2000,1000,3,Large,no data,100%
2D,40,Low,12,6,19,-8,HKD,1500,1000,3,Large,no data,90%
5D,40,High,20,3,26,-15,0,1125,3000,2,Mid,no data,80%
5[D],50,High,28,3,26,-10,KD,1875,1500,4,Mid,no data,100%
[s/h] h/s,42,All,10,3,14,0,KD,2000,1000,3,Large,no data,80%
