,input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
0,5P,28,All,4,5,9,-2,+1,1000,1500,1,Small,-,80%
1,5K,"14, 28",All,3,"1, 3",25,-16,-13,"200, 500",1500,"0, 1",Small,-,80%
2,c.S,44,All,7,6,10,+3,+13,2500,1000,4,Mid,-,100%
3,f.S,29,All,10,2,13,+2,+5,2000,1000,3,Mid,-,90%
4,5H,52,All,11,4,20,-5,-2,2500,1000,4,Large,-,100%
5,2P,22,All,5,4,8,-2,+1,500,1500,0,Small,-,80%
6,2K,28,Low,6,3,11,-2,+1,750,1000,1,Small,-,70%
7,2S,34,All,10,6,15,-7,-4,1500,1000,2,Mid,-,90%
8,2H,46,All,11,5,31,-17,-2,2500,1000,4,Large,-,100%
9,j.P,24,High,5,3,8,-,-,375,1000,0,Small,-,80%
10,j.K,30,High,6,3,20,-,-,750,1000,1,Small,-,80%
11,j.S,36,High,10,3,23,-,-,1125,1000,2,Mid,-,80%
12,j.H,24×2,High,11,"4, 8",0,-,-,525×2,1000,2,Mid,-,80%
13,j.D,45,High,9,3,17,-,KD,1500,1000,3,Mid,-,80%
14,6P,36,All,9,5,20,-11,KD (+24),1500,1000,2,Mid,1~2F Upper Body,90%
15,6S,45,All,15,6,20,-7,-4,2500,1000,4,Mid,-,90%
16,6H,60,All,9,3,43,-27,HKD (+9),2500,1000,4,Large,-,100%
17,2D,36,Low,10,3,18,-4,HKD (+49),1500,1000,3,Large,5~24F Low Profile,90%
18,5D,50,High,20~28,3,26,-15,±0,1125,3000,2,Mid,-,80%
19,5[D],62,High,28,3,26,-10,KD (+36),1875,1500,2,Mid,-,100%
