input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
5P,18,All,5,4,8,-2,+1,500,1500,0,Small,-,80%
5K,24,Low,8,4,10,-2,+1,750,1000,1,Small,-,70%
c.S,30,All,9,6,10,+1,+4,2000,1000,3,Mid,-,100%
f.S,20×2,All,10,2×3,23,-12,-9,700×2,1000,2,Mid,-,90%
5H,48,All,13,9,19,-9,-6,2500,1000,4,Large,-,100%
2P,18,All,6,4,9,-3,0,500,1500,0,Small,-,80%
2K,26,Low,6,2,13,-3,0,750,1000,1,Small,-,70%
2S,35,All,11,4,20,-10,-7,1500,1000,2,Mid,-,90%
2H,40,All,13,7,26,-13,KD,2500,1000,4,Large,-,100%
j.P,13x3,High,8,"5, 5, 2",15,-,-,75×3,1000,0,Small,-,80%
j.K,20,High,7,4,11,-,-,750,1000,1,Small,-,80%
j.S,26,High,9,4,14,-,-,1125,1000,2,Mid,-,80%
j.H,38,High,12,14,13,-,-,1500,1000,3,Mid,-,80%
j.D,40,High,11,4,22,-,-,1875,1000,4,Large,-,80%
6P,30,All,12,8,12,-6,KD,1500,1000,2,Mid,1 ~ 3 Upper Body,90%
6K,30,High,28,4,12,-2,+1,1125,1000,2,Mid,-,80%
6H,65,All,30,4,11,-4,+1,2000,1000,3,Large,-,100%
2D,27,Low,10,6,17,-9,HKD,1125,1000,2,Large,-,90%
5D,40,High,20,3,26,-15,0,1125,3000,2,Mid,-,80%
5[D],50,High,28,3,26,-10,KD,1875,1500,4,Mid,-,100%
